cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
05425006-1,Parcela San Antonio,Control de Nivel,Suspendidas,Región de Valparaíso,Comuna de Calera,Rio Aconcagua,208,-32.79858071,-71.20516138
05425007-K,Apr Pocochay,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,0,-32.83994983,-71.22123542
05426001-6,Rio Aconcagua En Puente Boco (Ca),Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,120,-32.87050846,-71.25213155
05426002-4,Rio Aconcagua En Tabolango,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,60,-32.91969003,-71.38718149
05426003-2,Rio Aconcagua En Puente Colmo,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Limache,Rio Aconcagua,20,-32.9229941,-71.44157303
05426004-0,Quillota,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,130,-32.89608535,-71.2064743
05426005-9,Fundo Esmeralda (1),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,92,-32.91750049,-71.25657172
05426006-7,Fundo Esmeralda (2),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,92,-32.91757356,-71.25652012
05426007-5,Fundo El Progreso,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,187,-32.79736207,-71.22865304
05426008-3,Fundo San Antonio,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,125,-32.79750705,-71.22861395
05426009-1,Asentamiento El Cajon,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,95,-32.93819802,-71.26840097
05426011-3,Fundo Esmeralda (3),Control de Nivel,Suspendidas,Región de Valparaíso,Comuna de Quillota,Rio Aconcagua,97,-32.90717275,-71.31049787
