cod_estacion,institucion,nombre,comuna,region,latitud,longitud
151,INIA,Truffa - Azapa medio,Arica,Arica y Parinacota,-18.547727833,-70.124645833000002
152,INIA,Visviri,General Lagos,Arica y Parinacota,-17.594605000000001,-69.477417000000003
153,INIA,Calama Rural,Calama,Antofagasta,-22.471029832999999,-68.942980000000006
154,INIA,Ollague,Antofagasta,Antofagasta,-21.216699999999999,-68.233055555999996
155,INIA,San Pedro de Atacama,San Pedro de Atacama,Antofagasta,-22.932200000000002,-68.213458000000003
156,INIA,Socaire,San Pedro de Atacama,Antofagasta,-23.590585832999999,-67.890062833000002
157,INIA,Toconao,San Pedro de Atacama,Antofagasta,-23.1905,-68.007169000000005
158,INIA,Algarrobo Bajo,Ovalle,Coquimbo,-30.633099832999999,-71.451409833
159,INIA,CE Huasco Vallenar,Vallenar,Atacama,-28.581130000000002,-70.798289832999998
160,INIA,Camarico,Ovalle,Coquimbo,-30.698989832999999,-71.321700000000007
161,INIA,Monte Patria El Palqui,Monte Patria,Coquimbo,-30.774543832999999,-70.926831000000007
162,INIA,La Platina,La Pintana,Metropolitana,-33.569870000000002,-70.627972833000001
163,INIA,El Tambo,San Vicente,O'Higgins,-34.470992000000003,-70.986951000000005
164,INIA,Cauquenes,Cauquenes,Maule,-35.955973,-72.289938000000006
165,INIA,Chanco,Chanco,Maule,-35.706555999999999,-72.511167
166,INIA,Coronel de Maule,Cauquenes,Maule,-36.059091832999997,-72.477688833000002
167,INIA,Los Despachos,Cauquenes,Maule,-36.062114000000001,-72.371438832999999
168,INIA,Santa Sofia,Cauquenes,Maule,-35.977643,-72.359864000000002
169,INIA,Sauzal,Cauquenes,Maule,-35.714879000000003,-72.111307832999998
170,INIA,Cañete,Cañete,Biobío,-37.892071000000001,-73.411734832999997
171,INIA,Chiguayante,Chiguayante,Biobío,-36.913490000000003,-73.035458000000006
172,INIA,Coronel,Coronel,Biobío,-37.004823000000002,-73.140405000000001
173,INIA,Human,Los Ángeles,Biobío,-37.433556000000003,-72.243975000000006
174,INIA,Lebu,Lebu,Biobío,-37.682541000000001,-73.522166833
175,INIA,Ninhue,Chillán,Biobío,-36.398105000000001,-72.395202832999999
176,INIA,Nueva Aldea,Concepción,Biobío,-36.648899833000002,-72.513490000000004
177,INIA,Portezuelo,Portezuelo,Biobío,-36.532037000000003,-72.368268
178,INIA,Punta Parra,Tomé,Biobío,-36.672393833000001,-72.964684000000005
179,INIA,Sta Rosa,Chillán,Biobío,-36.535195000000002,-71.916433832999999
180,INIA,Yungay,Yungay,Biobío,-37.141384832999996,-72.011761000000007
181,INIA,Navidad,El Carmen,Biobío,-36.907300833000001,-71.935601000000005
182,INIA,C. Llollinco,Teodoro Schmidt,Araucanía,-38.976944000000003,-72.997777833000001
183,INIA,Carillanca,Vilcún,Araucanía,-38.693055833000003,-72.417221832999999
184,INIA,Cuarta Faja,Gorbea,Araucanía,-39.115555833000002,-72.605277833000002
185,INIA,Dominguez,Saavedra,Araucanía,-38.918610833000002,-73.240278000000004
186,INIA,La Providencia,Traiguén,Araucanía,-38.289444000000003,-72.611389000000003
188,INIA,Quiripio,Carahue,Araucanía,-38.639721833000003,-73.244167000000004
189,INIA,El Quincho,Cunco,Araucanía,-38.913175000000003,-72.183514000000002
190,INIA,Curacautín-San Luis,Curacautín,Araucanía,-38.401667000000003,-71.902500000000003
191,INIA,Sta. Adela,Nueva Imperial,Araucanía,-38.756110833000001,-72.891389000000004
192,INIA,Tranapuente,Carahue,Araucanía,-38.690832833000002,-73.353333000000006
